Date,VUG,VWAPY,RIVN,VOOV,OGN,PTON,O,GLD,IAU,INTC,BZFD,AMD,RKLB,AMZN,MRNA,IBM,NFLX,MSFT,IHI,SG,SONO,NXT,STKL
2025-02-21,414.1320495605469,9.577905654907227,12.970000267028809,186.48968505859375,15.102100372314453,8.5600004196167,53.98556900024414,270.739990234375,55.38999938964844,24.8700008392334,2.390000104904175,110.83999633789062,23.549999237060547,216.5800018310547,35.529998779296875,255.13766479492188,100.31500244140625,405.108642578125,64.1368179321289,21.829999923706055,11.930000305175781,46.119998931884766,6.980000019073486
2025-02-24,410.02081298828125,9.857182502746582,11.960000038146973,186.57803344726562,14.973023414611816,8.760000228881836,54.19361114501953,272.2099914550781,55.68000030517578,24.270000457763672,2.200000047683716,108.11000061035156,22.489999771118164,212.7100067138672,33.900001525878906,255.51817321777344,98.84700012207031,400.93060302734375,64.47563934326172,22.610000610351562,12.510000228881836,46.70000076293945,7.239999771118164
2025-02-25,405.491455078125,10.346386909484863,11.449999809265137,186.78416442871094,16.015573501586914,8.449999809265137,53.181800842285156,268.6199951171875,54.970001220703125,22.989999771118164,2.119999885559082,103.95999908447266,20.280000686645508,212.8000030517578,33.279998779296875,251.49810791015625,97.7239990234375,394.8769836425781,63.75813674926758,22.40999984741211,13.489999771118164,46.54999923706055,7.199999809265137
2025-02-26,407.0144958496094,10.196439743041992,11.399999618530273,185.6749267578125,15.370184898376465,7.880000114440918,53.049407958984375,269.0299987792969,55.040000915527344,23.520000457763672,2.1500000953674316,104.73999786376953,21.25,214.35000610351562,33.58000183105469,249.6344451904297,99.00599670410156,396.6930847167969,64.03716278076172,23.139999389648438,13.5600004196167,47.41999816894531,7.389999866485596
2025-02-27,396.7911376953125,10.055863380432129,11.600000381469727,184.63441467285156,14.933306694030762,7.429999828338623,53.49385070800781,264.92999267578125,54.20000076293945,23.09000015258789,2.0899999141693115,99.51000213623047,19.829999923706055,208.74000549316406,31.09000015258789,247.08775329589844,96.30699920654297,389.5477600097656,62.940982818603516,23.149999618530273,13.220000267028809,45.02000045776367,6.320000171661377
2025-02-28,403.8887939453125,10.037120819091797,11.84000015258789,187.1571807861328,14.804228782653809,7.53000020980835,53.9288444519043,263.2699890136719,53.869998931884766,23.729999542236328,2.140000104904175,99.86000061035156,20.489999771118164,212.27999877929688,30.959999084472656,246.31692504882812,98.05599975585938,393.9739074707031,63.548866271972656,22.760000228881836,13.220000267028809,44.02000045776367,6.269999980926514
2025-03-03,394.06353759765625,10.271413803100586,11.510000228881836,185.24301147460938,14.248202323913574,7.03000020980835,54.6775016784668,266.739990234375,54.56999969482422,22.739999771118164,2.0299999713897705,98.2300033569336,18.65999984741211,205.02000427246094,30.270000457763672,244.12149047851562,97.37000274658203,385.5384826660156,63.69834518432617,21.639999389648438,12.989999771118164,42.40999984741211,5.880000114440918
2025-03-04,391.68438720703125,10.299528121948242,11.260000228881836,182.4061279296875,14.188628196716309,6.949999809265137,54.87702560424805,269.05999755859375,55.040000915527344,21.329999923706055,2.0199999809265137,100.75,18.9950008392334,203.8000030517578,30.3700008392334,247.0682373046875,97.25800323486328,385.65753173828125,62.89115524291992,21.469999313354492,13.050000190734863,43.09000015258789,5.71999979019165
2025-03-05,397.4281921386719,10.688455581665039,11.420000076293945,183.90802001953125,14.347491264343262,6.889999866485596,55.20956039428711,269.6199951171875,55.16999816894531,20.809999465942383,2.049999952316284,101.66999816894531,20.399999618530273,208.36000061035156,35.209999084472656,245.2533721923828,99.09200286865234,397.9732666015625,63.210044860839844,23.010000228881836,13.109999656677246,42.79999923706055,5.679999828338623
2025-03-06,386.0998229980469,11.002408027648926,11.029999732971191,182.75950622558594,14.754583358764648,6.329999923706055,54.46849060058594,268.25,54.869998931884766,20.75,2.009999990463257,98.8499984741211,18.65999984741211,200.6999969482422,34.29999923706055,242.65786743164062,90.63600158691406,393.8746643066406,61.77503967285156,23.540000915527344,12.960000038146973,42.09000015258789,5.860000133514404
2025-03-07,386.94598388671875,11.039895057678223,11.170000076293945,184.2417755126953,15.33046817779541,6.210000038146973,55.56108474731445,268.3900146484375,54.90999984741211,20.639999389648438,2.0399999618530273,100.30999755859375,18.799999237060547,199.25,35.61000061035156,255.19618225097656,89.11100006103516,390.3218688964844,61.70528030395508,23.940000534057617,12.880000114440918,41.560001373291016,6.010000228881836
2025-03-10,371.2077331542969,11.030524253845215,10.960000038146973,181.4735565185547,15.618412017822266,5.619999885559082,55.57059097290039,266.0400085449219,54.43000030517578,19.93000030517578,1.940000057220459,96.62999725341797,17.1200008392334,194.5399932861328,35.959999084472656,250.66873168945312,86.66799926757812,377.2717590332031,60.150691986083984,23.8700008392334,12.079999923706055,41.709999084472656,5.619999885559082
2025-03-11,370.11273193359375,11.208586692810059,10.789999961853027,178.6660919189453,15.489335060119629,5.739999771118164,53.879432678222656,269.1600036621094,55.06999969482422,19.780000686645508,1.940000057220459,96.76000213623047,17.829999923706055,196.58999633789062,33.7599983215332,242.9115753173828,89.51000213623047,377.5595397949219,59.662384033203125,24.84000015258789,11.710000038146973,44.939998626708984,5.730000019073486
2025-03-12,375.1995544433594,11.180471420288086,11.0600004196167,177.67466735839844,14.893590927124023,6.099999904632568,53.5564079284668,270.3299865722656,55.29999923706055,20.68000030517578,1.9700000286102295,100.79000091552734,18.43000030517578,198.88999938964844,35.0099983215332,243.57508850097656,91.96800231933594,380.35809326171875,59.13422775268555,25.18000030517578,11.6899995803833,44.31999969482422,5.670000076293945
