ticker,industry_generic
KMI,Energy
KHC,Everyday essentials
KR,Everyday essentials
LHX,Industry & transport
LH,Health & life science
LRCX,Tech & connectivity
LW,Everyday essentials
LVS,Hi-fi living
LDOS,Tech & connectivity
LEN,Industry & transport
LII,Industry & transport
LLY,Health & life science
LIN,Materials & mining
LYV,Hi-fi living
LMT,Industry & transport
L,Money & risk
LOW,Hi-fi living
LULU,Hi-fi living
LYB,Materials & mining
MTB,Money & risk
MGM,Hi-fi living
MSCI,Money & risk
MPC,Energy
MAR,Hi-fi living
MRSH,Money & risk
MLM,Materials & mining
MRVL,Tech & connectivity
MAS,Industry & transport
MA,Money & risk
MTCH,Tech & connectivity
MKC,Everyday essentials
MCD,Hi-fi living
MCK,Health & life science
MDT,Health & life science
MELI,Tech & connectivity
MRK,Health & life science
MET,Money & risk
META,Tech & connectivity
MTD,Health & life science
MSTR,Tech & connectivity
MCHP,Tech & connectivity
MU,Tech & connectivity
MSFT,Tech & connectivity
MAA,Real estate & property
MRNA,Health & life science
MOH,Health & life science
TAP,Everyday essentials
MDLZ,Everyday essentials
MPWR,Tech & connectivity
MNST,Everyday essentials
MCO,Money & risk
MS,Money & risk
MOS,Everyday essentials
MSI,Tech & connectivity
NRG,Utilities & power
NVR,Industry & transport
NXPI,Tech & connectivity
NDAQ,Money & risk
NTAP,Tech & connectivity
NFLX,Hi-fi living
NEM,Materials & mining
NWSA,Hi-fi living
NWS,Hi-fi living
NEE,Utilities & power
NXT,Energy
NI,Utilities & power
NKE,Hi-fi living
NDSN,Industry & transport
NSC,Industry & transport
NTRS,Money & risk
NOC,Industry & transport
NCLH,Hi-fi living
NUE,Materials & mining
NVDA,Tech & connectivity
ON,Tech & connectivity
OXY,Energy
ODFL,Industry & transport
OMC,Services
OKE,Energy
ORCL,Tech & connectivity
OGN,Health & life science
OTIS,Industry & transport
ORLY,Hi-fi living
PDD,Tech & connectivity
PCG,Utilities & power
PNC,Money & risk
PPG,Materials & mining
PPL,Utilities & power
PTC,Tech & connectivity
PCAR,Industry & transport
PKG,Industry & transport
PLTR,Tech & connectivity
PANW,Tech & connectivity
PSKY,Hi-fi living
PH,Industry & transport
PYPL,Money & risk
PAYX,Tech & connectivity
PAYC,Tech & connectivity
PTON,Hi-fi living
PNR,Industry & transport
PEP,Everyday essentials
PFE,Health & life science
PM,Everyday essentials
PSX,Energy
PNW,Utilities & power
POOL,Industry & transport
PFG,Money & risk
PG,Everyday essentials
PGR,Money & risk
PLD,Real estate & property
PRU,Money & risk
PEG,Utilities & power
PSA,Real estate & property
PHM,Industry & transport
Q,Tech & connectivity
QCOM,Tech & connectivity
PWR,Industry & transport
DGX,Health & life science
RTX,Industry & transport
RL,Hi-fi living
RJF,Money & risk
O,Real estate & property
REG,Real estate & property
REGN,Health & life science
RF,Money & risk
RSG,Services
RMD,Health & life science
RVTY,Health & life science
RIVN,Hi-fi living
HOOD,Money & risk
RKLB,Industry & transport
ROK,Industry & transport
ROL,Other
ROP,Tech & connectivity
ROST,Hi-fi living
RCL,Hi-fi living
SPGI,Money & risk
SBAC,Real estate & property
GLD,Unknown
CRM,Tech & connectivity
SNDK,Tech & connectivity
SLB,Energy
SWTSX,Unknown
SCHB,Unknown
SCHG,Unknown
SCHV,Unknown
SCHH,Unknown
SCHD,Unknown
SWPPX,Unknown
STX,Tech & connectivity
SRE,Utilities & power
NOW,Tech & connectivity
SHW,Materials & mining
SHOP,Tech & connectivity
SPG,Real estate & property
SWKS,Tech & connectivity
SW,Industry & transport
SNA,Industry & transport
SOLV,Health & life science
SONO,Tech & connectivity
SO,Utilities & power
LUV,Hi-fi living
SWK,Industry & transport
SBUX,Hi-fi living
XLY,Unknown
XLP,Unknown
STT,Money & risk
XLE,Unknown
XLF,Unknown
XLV,Unknown
SPY,Unknown
XLK,Unknown
STLD,Materials & mining
STE,Health & life science
SYK,Health & life science
STKL,Everyday essentials
SMCI,Tech & connectivity
SG,Hi-fi living
SYF,Money & risk
SNPS,Tech & connectivity
SYY,Everyday essentials
TMUS,Tech & connectivity
TROW,Money & risk
TEL,Tech & connectivity
TJX,Hi-fi living
TKO,Hi-fi living
TTWO,Tech & connectivity
TPR,Hi-fi living
TRGP,Energy
TGT,Hi-fi living
TDY,Health & life science
TER,Tech & connectivity
TSLA,Hi-fi living
TXN,Tech & connectivity
TPL,Energy
TXT,Industry & transport
TMO,Health & life science
TRI,Services
TSCO,Hi-fi living
TTD,Services
TT,Industry & transport
TDG,Industry & transport
TRV,Money & risk
TRMB,Health & life science
TFC,Money & risk
TYL,Tech & connectivity
TSN,Everyday essentials
USB,Money & risk
UDR,Real estate & property
UBER,Tech & connectivity
ULTA,Hi-fi living
UNP,Industry & transport
UAL,Hi-fi living
UPS,Industry & transport
URI,Hi-fi living
UNH,Health & life science
UHS,Health & life science
VLO,Energy
VFIAX,Unknown
VEA,Unknown
VWO,Unknown
VUG,Unknown
VYM,Unknown
VGT,Unknown
VNQ,Unknown
VOO,Unknown
VOOG,Unknown
VOOV,Unknown
BND,Unknown
VXUS,Unknown
VTI,Unknown
VTSAX,Unknown
VTV,Unknown
VTR,Real estate & property
VLTO,Services
VRSN,Tech & connectivity
VRSK,Services
VZ,Tech & connectivity
VRTX,Health & life science
VTRS,Health & life science
VICI,Real estate & property
V,Money & risk
VST,Utilities & power
VMC,Materials & mining
WRB,Money & risk
GWW,Industry & transport
WEC,Utilities & power
WAB,Industry & transport
WMT,Hi-fi living
DIS,Hi-fi living
WBD,Hi-fi living
WM,Services
WAT,Health & life science
WFC,Money & risk
WELL,Real estate & property
WST,Health & life science
WDC,Tech & connectivity
WY,Real estate & property
WMB,Energy
WSM,Hi-fi living
WTW,Money & risk
WDAY,Tech & connectivity
WYNN,Hi-fi living
XEL,Utilities & power
XYL,Industry & transport
YUM,Hi-fi living
ZBRA,Tech & connectivity
ZBH,Health & life science
ZTS,Health & life science
ZS,Tech & connectivity
EBAY,Tech & connectivity
